"korean","chinese","english","gender"
"경상남도지사","庆尚南道知事","Governor of South Gyeongsang Province",""
"덕종 (조선)","懿敬世子","Crown Prince Ŭigyŏng",""
"경수진","景收真","Kyung Soo-jin",""
"박지연 (1984년)","朴智妍 (1984年)","",""
"이재정 (1944년)","李在祯","Lee Jae-joung",""
"이희호","李姬镐","Lee Hee-ho",""
"이철하","李澈河","Lee Cheol-ha",""
"이희도","李熙道","",""
"이시아","李诗雅","Lee Si-a",""
"임현욱","林贤旭","",""
"양홍원","梁洪元","Yang Hong-won",""
"권혁수 (배우)","权赫秀","Kwon Hyuk-soo (actor)",""
"하유정","河俊任","Ha Yu-jeong",""
"하주희","河珠熙","Ha Joo-hee",""
"옥고운","玉智英","",""
"백종헌 (1962년)","白宗宪","",""
"백성현","白成铉","Baek Sung-hyun",""
"백옥자","白玉子","Paik Ok-ja",""
"우지현 (배우)","禹智贤","Woo Ji-hyun",""
"처영","处英","",""
"조혜진 (1990년)","赵慧真","",""
"조민수 (배우)","赵敏修","Jo Min-su",""
"차승민","车盛民","",""
"정재은 (태권도 선수)","郑在恩 (运动员)","Jung Jae-eun (taekwondo)",""
"상궁 김씨","金介屎","Kim Kaesi",""
"김남국","金南局","Kim Nam-kuk",""
"김재영 (1988년생 배우)","金宰永","Kim Jae-young (actor)",""
"김태민 (1995년)","金泰旼","",""
"김병연","金笠","",""
"고아라 (배드민턴 선수)","高我罗","Go Ah-ra (badminton)",""
"더 킹 : 영원의 군주","The King：永远的君主","The King: Eternal Monarch",""
"YB (밴드)","YB (乐团)","YB (band)",""
"YNB 엔터테인먼트","YNB娱乐","",""
"원희룡","元喜龙","Won Hee-ryong",""
"봉중근","奉重根","Jung Bong",""
"치즈인더트랩 (드라마)","奶酪陷阱","Cheese in the Trap (TV series)",""
"효의왕후","孝懿王后","Queen Hyoui",""
"의빈 성씨","宜嫔成氏","Royal Noble Consort Uibin Seong",""
"쇼타로 (가수)","将太郎","Shotaro (rapper)",""
"최승훈 (배우)","崔乘训","Choi Seung-hoon",""
"최민경 (쇼트트랙 선수)","崔敏敬","Choi Min-kyung",""
"최민수","崔民秀","Choi Min-soo",""
"최영준 (배우)","崔英俊","Choi Young-joon",""
"광평대군","广平大君","",""
"서준영","徐俊英","Seo Jun-young",""
"박하준 (사격 선수)","朴河俊","Park Ha-jun",""
"박준규 (배우)","朴浚圭","Park Jun-gyu",""
"박예영","朴艺瑛","Park Ye-young",""
"박종호 (1973년)","朴钟皓","Park Jong-ho",""
"이나은 (1999년)","李娜恩 (1999年)","Lee Na-eun",""
"이승훈 (가수)","李升勋","Lee Seung-hoon (rapper)",""
"이정흠","李正钦","",""
"이민우 (가수)","李玟雨","Lee Min-woo",""
"이지영 (야구 선수)","李知荣","Lee Ji-young (baseball)",""
"이적 (가수)","李笛","Lee Juck",""
"이달곤","李达坤","",""
"유진산","柳珍山","Yu Chin-san",""
"홍영기 (방송인)","洪瑛琦","",""
"도적: 칼의 소리","盗贼之歌","Song of the Bandits",""
"허균","许筠","Hŏ Kyun",""
"조수삼","赵秀三","",""
"변이중","边以中","",""
"적재","郑宰沅","Jukjae",""
"김준엽","金俊烨","Kim Jun-yop",""
"김보지","金保之","",""
"김용지","金容智","Kim Yong-ji",""
"김지호 (배우)","金志祜","Kim Ji-ho",""
"김혜리 (배우)","金慧利","Kim Hye-ri (actress)",""
"김명민","金明民","Kim Myung-min",""
"도인비","金泰相","Doinb",""
"김영진 (1947년)","金泳镇","",""
"김병욱 (1977년)","金炳旭 (1977年)","",""
"한혜숙","韩惠淑","Han Hye-sook",""
"황현선","黄铉善","Hwang Hyun-sun",""
"컬러링 베이비 7공주","7公主 (韩国)","",""
"BTL (음악 그룹)","BTL (组合)","",""
"유보영","俞宝英","",""
"전창근 (영화 감독)","全昌根","",""
"대한제국의 내각총리대신","内阁总理大臣 (大韩帝国)","Prime Minister of the Korean Empire",""
"엄홍길","严弘吉","Um Hong-gil",""
"태연","太妍","Taeyeon",""
"강소라","姜素拉","Kang So-ra",""
"안길호","安吉镐","",""
"송연화","宋妍华","",""
"윤정훈 (배우)","尹正勋","",""
"최여진","崔汝珍","Choi Yeo-jin",""
"주효상","朱晓祥","",""
"박준형 (축구 선수)","朴俊炯 (足球运动员)","Park Jun-heong",""
"박남춘","朴南春","Park Nam-choon",""
"박진만","朴镇万","Park Jin-man",""
"이기택 (배우)","李基宅","Lee Ki-taek (actor)",""
"이다해","李多海","Lee Da-hae",""
"이대호","李大浩","Dae-ho Lee",""
"이승우 (축구 선수)","李升祐","Lee Seung-woo",""
"이수남","李秀男","Lee Soo-nam",""
"이하이의 음반 목록","李遐怡音乐作品列表","Lee Hi discography",""
"하정은","河贞恩","Ha Jung-eun",""
"홍정호 (축구 선수)","洪正好","Hong Jeong-ho",""
"온유","温流 (韩国)","Onew",""
"신경진 (1575년)","申景禛","",""
"노재원 (배우)","卢载沅","Roh Jae-won",""
"추성훈","秋成勋","Yoshihiro Akiyama",""
"진호은","秦豪溵","Jin Ho-eun",""
"대한민국 통일부 장관","统一部长","",""
"조광희 (카누 선수)","赵光熙","Cho Gwang-hee",""
"정몽구","郑梦九","Chung Mong-koo",""
"정인기","郑仁基 (演员)","Jung In-gi",""
"정혜선","郑惠先","Jung Hye-sun",""
"정홍원","郑烘原","Chung Hong-won",""
"정찬헌","郑粲宪","",""
"김혜성 (야구 선수)","金慧成","Hyeseong Kim",""
"김성원 (정치인)","金成愿","",""
"김동희 (1999년)","金东希","Kim Dong-hee (actor)",""
"김수지 (배구 선수)","金秀智","Kim Su-ji (volleyball)",""
"고원희","高媛熙","Go Won-hee",""
"지선 (가수)","黄智宣","",""
"황남숙","黄男淑","Hwang Nam-sook",""
"틀:이준익","Template:李濬益电影作品","Template:Lee Joon-ik",""
"불멸의 이순신","不灭的李舜臣","Immortal Admiral Yi Sun-sin",""
"롯데리아","乐天利","Lotteria",""
"남성진","南成镇","",""
"오은선","吴银善","Oh Eun-sun",""
"당예서","唐汭序","Dang Ye-seo",""
"손성윤","孙星允","Son Seong-yoon",""
"안도규","安道奎","Ahn Do-gyu",""
"최성국 (축구 선수)","崔成国 (足球运动员)","Choi Sung-kuk",""
"성재기 (활동가)","成在基","Sung Jae-gi",""
"박원재 (1984년)","朴源载","Park Won-jae",""
"이윤미","李允美","Lee Yoon-mi",""
"이정재 (배우)","李政宰","Lee Jung-jae",""
"이하이","李遐怡","Lee Hi",""
"민호","珉豪","Choi Min-ho",""
"신우철 (연출가)","申宇哲","Shin Woo-chul",""
"노사연","卢士燕","Noh Sa-yeon",""
"신사의 품격","绅士的品格","A Gentleman's Dignity",""
"설경구","薛景求","Sul Kyung-gu",""
"소이현","苏怡贤","So Yi-hyun",""
"정인 (가수)","郑仁","Choi Jung-in",""
"한경","韩庚","Han Geng",""
"난중일기","乱中日记","Nanjung ilgi",""
"유학성","俞学圣","",""
"유흥식","俞兴植","Lazarus You Heung-sik",""
"원지안","元志安","Won Ji-an",""
"오상진","吴尚津","Oh Sang-jin",""
"오장은","吴章银","Oh Jang-eun",""
"기은유","奇恩侑","",""
"강보승","姜宝承","",""
"강유석","姜有皙","Kang You-seok",""
"우주소녀","宇宙少女","WJSN",""
"최광일","崔光逸","",""
"최문식","崔文植","Choi Moon-sik",""
"최명빈","崔明彬","Choi Myung-bin",""
"최지수 (배우)","崔智秀 (演员)","",""
"최수린","崔秀琳","Choi Su-rin",""
"최현욱","崔显旭","Choi Hyun-wook",""
"장진영 (배우)","张真英","Jang Jin-young",""
"레이 (가수)","张艺兴","Lay Zhang",""
"공혜왕후","恭惠王后","Queen Gonghye",""
"성희안","成希颜","Sŏng Hŭian",""
"문대성","文大成","Moon Dae-sung",""
"성진 (가수)","晟镇","Sungjin",""
"박능후","朴凌厚","Park Neung-hoo",""
"박준화 (연출가)","朴峻华","",""
"박충균","朴忠均","Park Choong-kyun",""
"박시연","朴时妍","Park Si-yeon",""
"이가섭","李家燮","Lee Ga-sub",""
"이정협 (축구 선수)","李庭协","Lee Jeong-hyeop",""
"이혜인 (배우)","李慧仁 (演员)","Lee Hye-in (actress)",""
"동해 (가수)","东海 (艺人)","Lee Donghae",""
"하유미 (배우)","河有美","Ha Yoo-mi",""
"홍예지 (배우)","洪艺智","Hong Ye-ji",""
"신혜성","申彗星","Shin Hye-sung",""
"신현빈","申铉彬","Shin Hyun-been",""
"노우진","卢宇振","Noh Woo-jin",""
"배권영","裴权瑛","",""
"김선영 (유도 선수)","金善永","Kim Seon-young (judoka)",""
"김시후","金时厚","Kim Si-hoo",""
"김태균 (1982년)","金泰均 (1982年)","Kim Tae-kyun (baseball, born 1982)",""
"김기훈 (쇼트트랙 선수)","金琪焄","Kim Ki-hoon",""
"김하나 (배드민턴 선수)","金荷娜 (羽毛球运动员)","Kim Ha-na",""
"한민구","韩民求","Han Min-goo",""
"황선아","黄仙妸","Hwang Seon-a",""
"황경선","黄敬善","Hwang Kyung-seon",""
"제안대군","齐安大君","",""
"유경준","俞京濬","",""
"전북특별자치도지사","全北特别自治道知事","Governor of Jeonbuk State",""
"남규리","南奎里","Nam Gyu-ri",""
"변정민","卞贞敏","",""
"기황후 (드라마)","奇皇后 (电视剧)","Empress Ki (TV series)",""
"강민수 (축구 선수)","姜敏寿","Kang Min-soo",""
"송명기","宋铭基","",""
"윤석열 체포","尹锡悦逮捕行动","Arrest of Yoon Suk Yeol",""
"윤웅렬","尹雄烈","Yun Ungnyŏl",""
"최지나","崔智娜","Choi Ji-na",""
"최익현","崔益铉","Choe Ik-hyeon",""
"최정원 (1981년 4월)","崔贞媛","Choi Jung-won (actress, born 1981)",""
"성시백 (쇼트트랙 선수)","成始柏","Sung Si-bak",""
"정조","朝鲜正祖","Jeongjo of Joseon",""
"박지숙","朴智淑","",""
"박지원 (1998년 3월 가수)","朴池原","",""
"박미라 (탁구 선수)","朴美罗 (乒乓球运动员)","Park Mi-ra (table tennis)",""
"이세은 (배우)","李世恩","Lee Se-eun",""
"이은지 (희극인)","李恩智 (喜剧演员)","Lee Eun-ji (entertainer)",""
"이범진 (1852년)","李范晋","Yi Bum-jin",""
"이미자 (농구 선수)","李美子","Lee Mi-ja (basketball)",""
"원호 (가수)","李虎锡","Wonho",""
"임하룡","林河龙","Im Ha-ryong",""
"심완구","沈完求","Shim Wan-koo",""
"하승리","河胜理","Ha Seung-ri",""
"불꽃 (2000년 드라마)","火花 (电视剧)","Fireworks (2000 TV series)",""
"왕지원","王智媛","Wang Ji-won",""
"백범김구기념관","白凡金九纪念馆","Kim Koo Museum",""
"장하오 (가수)","章昊","Zhang Hao (singer)",""
"라종일 (1940년)","罗钟一","Ra Jong-yil",""
"신보라 (배우)","辛衍抒","Shin Yeon-suh",""
"정해균","郑海均","Jung Hae-kyun",""
"정미미","郑美美","",""
"정석원 (배우)","郑锡元","Jung Suk-won",""
"김태년 (1965년)","金太年","Kim Tae-nyeon",""
"김사경","金始庆","",""
"김빈우","金彬宇","",""
"김은지 (컬링 선수)","金恩智","Gim Eun-ji",""
"김자점","金自点","Kim Chajŏm",""
"김조광수","金赵光秀","Kim-Jho Gwangsoo",""
"김종오","金钟五","Kim Jong-oh",""
"치타 (가수)","Cheetah (韩国女歌手)","Cheetah (rapper)",""
"나나 (배우)","Nana (艺人)","Nana (entertainer)",""
"임성재 (골프 선수)","任成宰","Im Sung-jae",""
"임찬규","任灿圭","",""
"원세훈 (1951년)","元世勋","Won Sei-hoon",""
"유룡","刘龙 (韩国)","Ryoo Ryong",""
"오정아 (바둑 기사)","吴政娥","",""
"봉태규","奉太奎","Bong Tae-gyu",""
"강은비","姜恩菲","Kang Eun-bi",""
"송원근","宋元根","Song Won-geun",""
"송시열","宋时烈","Song Si-yŏl",""
"송금조","宋金祚","",""
"최남선","崔南善","Ch'oe Namsŏn",""
"최진호 (배우)","崔镇镐","Choi Jin-ho (actor)",""
"장민호 (가수)","张民好","Jang Minho",""
"서예화","徐艺华","Seo Ye-hwa",""
"박형준 (1960년)","朴亨埈","Park Heong-joon",""
"박다솔","朴多率","Park Da-sol",""
"박팽년","朴彭年","Pak P'aengnyŏn",""
"박정배 (야구인)","朴正培","Park Jung-bae",""
"이유비","李侑菲","Lee Yu-bi",""
"이용선","李庸瑄","",""
"린샤오쥔","林孝埈","Lim Hyo-jun",""
"류수정","柳树整","Ryu Su-jeong",""
"심혜진","沈惠珍","Shim Hye-jin",""
"홍유경","洪瑜暻","Hong Yoo-kyung",""
"금동현","琴东贤","",""
"전재수","田载秀","",""
"신도현 (배우)","申度贤","Shin Do-hyun",""
"설예은","薛誉恩","Seol Ye-eun",""
"조정은 (1996년)","赵廷恩","Jo Jung-eun",""
"정현숙 (탁구 선수)","郑贤淑","Chung Hyun-sook",""
"정대윤 (연출가)","郑大胤","",""
"김대은","金大恩 (体操运动员)","Kim Dae-eun",""
"김연지 (가수)","金延智","Kim Yeon-ji",""
"페기 구","金敏姬","Peggy Gou",""
"김민규 (2001년)","金旻奎 (2001年)","Kim Min-kyu (entertainer)",""
"김태영 (1949년)","金泰荣","Kim Tae-young (military)",""
"대한민국 부통령","韩国副总统","Vice President of South Korea",""
"위지웅","魏智雄","",""
"틀:태연","Template:太妍","Template:Taeyeon",""
"틀:경상북도지사","Template:庆尚北道知事","",""
"105인 사건","105人事件","105-Man Incident",""
"투포케이","24K (韩国组合)","24K+",""
"FNC 엔터테인먼트","FNC娱乐","FNC Entertainment",""
"오! 필승 봉순영","OH!必胜奉顺英","Oh Feel Young",""
"티오피미디어","TOP媒体","TOP Media",""
"유나 (2011년)","Yuna (演员)","Jeon Yu-na",""
"원빈 홍씨","元嫔洪氏","Royal Noble Consort Wonbin Hong",""
"강별","姜星","Kang Byul",""
"안산 (양궁 선수)","安山 (射箭运动员)","An San",""
"안방준","安邦俊","An Pangjun",""
"송민규 (테니스 선수)","宋敏圭","Song Min-kyu (tennis)",""
"송진우 (야구인)","宋津宇","Song Jin-woo (baseball)",""
"최성환 (축구 선수)","崔成焕","Choi Sung-hwan (footballer)",""
"성한빈","成韩彬","Sung Han-bin",""
"조식 (1501년)","曹植 (朝鲜)","Cho Sik",""
"효민","朴宣映","Hyomin",""
"박시영 (야구 선수)","朴是泳","",""
"이광진 (배드민턴인)","李光珍","Lee Gwang-jin",""
"이승윤 (양궁 선수)","李成延 (射箭运动员)","Lee Seung-yun",""
"이휘재","李辉宰","Lee Hwi-jae",""
"류성걸","柳性杰","",""
"양정원 (필라테스 강사)","梁定原","",""
"양재훈 (수영 선수)","梁才勋","Yang Jae-hoon",""
"심기원","沈器远","",""
"하세빈","河世彬","Ha Sebin",""
"백수민","白秀敏","",""
"우다비","禹多备","Woo Da-vi",""
"추소영","秋素英","",""
"허수미","许洙美","",""
"정상희 (연출가)","赵成熙","",""
"도상우","都想友","Do Sang-woo",""
"김차연 (핸드볼 선수)","金且妍","Kim Cha-youn",""
"김좌진","金佐镇","Kim Chwajin",""
"김민경 (1981년 8월)","金玟镜","",""
"김나영 (1991년)","金罗英 (1991年)","",""
"김종신 (레슬링 선수)","金钟信","Kim Jong-shin",""
"돈의 화신","钱的化身","Incarnation of Money",""
"탕준상","陈俊翔 (演员)","Tang Jun-sang",""
"육지담","陆智谭","Yuk Ji-dam",""
"한다감","韩多感","Han Eun-jung",""
"선우휘","鲜于辉","Seonu Hwi",""
"전세현","全世贤","",""
"유다인 (배우)","刘多仁","Yoo Da-in",""
"남자현","南慈贤","Nam Ja-hyeon",""
"오승환","吴升桓","Seung-hwan Oh",""
"엄지원","严志媛","Uhm Ji-won",""
"소녀시대-태티서","少女时代-太蒂徐","Girls' Generation-TTS",""
"윤원로","尹元老","",""
"윤민수","尹敏洙","Yoon Min-soo",""
"윤옥희","尹玉姬","Yun Ok-hee",""
"윤치원","尹致远","Chi-Won Yoon",""
"윤난중","尹兰中","",""
"최우성","崔宇成","Choi Woo-sung",""
"최성홍","崔成泓","",""
"연사종","延嗣宗","",""
"장성윤","张星允","",""
"명재현","明宰铉","",""
"이세연 (배드민턴 선수)","李世妍","",""
"이재원 (배우)","李在源","",""
"이대은","李带溵","Rhee Dae-eun",""
"이종무","李从茂","Yi Chongmu",""
"이수훈 (사회학자)","李洙勋","",""
"이설아 (2011년생 배우)","李蔎娥","",""
"숙의 이씨 (연산군)","李贞伊","",""
"이현지","李贤智","Lee Hyun-ji",""
"이종원 (1994년)","李钟圆","Lee Jong-won (model)",""
"쇼다 고조","正田耕三","Kozo Shoda",""
"민주사회를 위한 변호사모임","民主社会律师联盟","Minbyun",""
"석은미","石银美","Seok Eun-mi",""
"최유정 (가수)","磪有情","Choi Yoo-jung (singer)",""
"김기범 (배우)","起范","Kim Ki-bum",""
"김재덕 (가수)","金在德","Kim Jae-duck",""
"김성숙 (1898년)","金奎光","",""
"김민기 (정치인)","金敏基","",""
"김민 (1983년)","金民","",""
"김태영 (축구인)","金泰映","Kim Tae-young (footballer, born 1970)",""
"김흥수 (배우)","金兴铢","Kim Heung-soo (actor)",""
"김시운","金诗云","Kim In-seo",""
"김재영 (1977년)","金载英","",""
"대한민국 국무총리","韩国国务总理","Prime Minister of South Korea",""
"박채서","黑金星","",""
"틀:광주광역시장","Template:光州广域市长","",""
"HJ중공업","HJ重工","HJ Shipbuilding & Construction",""
"인조반정","仁祖反正","Injo coup",""
"임성언","任性彦","",""
"임방언","任邦彦","Yim Bang-eun",""
"광해, 왕이 된 남자","光海，成为王的男人","Masquerade (2012 film)",""
"응천군","凝川君","",""
"유승민 (정치인)","刘承旼","Yoo Seong-min",""
"여름 (1999년)","夏天 (歌手)","",""
"손진환","孙振焕","Shon Jin-hwan",""
"윤봉길 (배우)","尹锋吉","",""
"최영미 (시인)","崔泳美","Choe Yeongmi",""
