"russian","chinese","gender"
"Дмитрий Поляков","迪米特里·波利亚科夫",""
"Ким Ир Сен","金日成",""
"Алексей Потапов","阿列克谢·波达波夫",""
"Арташес Минасян","阿尔塔舍斯·米纳西安",""
"Максим Гулин","马克西姆·古林",""
"Александр Пушкин","亚历山大·普希金",""
"Александр Рудаков","亚历山大·鲁达科夫",""
"Саша Скочиленко","亚历山德拉·斯科奇连科",""
"Иван Юнак","伊万·尤纳克",""
"Иван Дмитриев","伊万·彼得罗维奇·德米特里耶夫",""
"Павел Ренненкампф","保罗·冯·伦宁坎普",""
"Клавдий Боголюбов","克拉夫季·博戈柳博夫",""
"Лев Рохлин","列夫·罗赫林",""
"Леонид Мартынов","列昂尼德·尼古拉耶维奇·马尔特诺夫",""
"Карл Август Христиан Мекленбург-Шверинский","卡尔·奥古斯特·克里斯蒂安",""
"Екатерина Белашова","叶卡捷琳娜·别拉绍娃",""
"Харп (посёлок городского типа)","哈尔普",""
"Энн-Арно Силлари","埃恩-阿诺·西拉里",""
"Татьяна Конюхова","塔季扬娜·科纽霍娃",""
"Дима Билан","季马·比兰",""
"Антон Силуанов","安东·西卢安诺夫",""
"Юрий Лисянский","尤里·利相斯基",""
"Николай Калинин","尼古拉·加里宁",""
"Николай Тихонов","尼古拉·谢苗诺维奇·吉洪诺夫",""
"Константин Юренёв","康斯坦丁·尤列涅夫",""
"Владимир Панасюк","弗拉基米尔·帕纳秀克",""
"Владимир Архипов","弗拉基米尔·阿尔希波夫",""
"Владислав Ходасевич","弗拉季斯拉夫·霍达谢维奇",""
"Пётр Павленко","彼得·帕夫连科",""
"Пётр Глебов","彼得·彼得罗维奇·格列博夫",""
"Пётр Король","彼得·科罗尔",""
"Томас Сговио","托马斯·斯戈维奥",""
"Лаврентий Берия","拉夫连季·贝利亚",""
"Степан Шалаев","斯捷潘·沙拉耶夫",""
"Дворец для Путина. История самой большой взятки","普京宫殿：史上最大的贿赂",""
"Георгий Жуков","格奥尔基·朱可夫",""
"Эдуард Лепин","爱德华·列平",""
"Валентина Хетагурова","瓦莲京娜·赫塔古罗娃",""
"Василий Перов","瓦西里·彼罗夫",""
"Михаил Владимирский","米哈伊尔·弗拉基米尔斯基",""
"Меер Трилиссер","米哈伊尔·特里利塞尔",""
"Михаил Машковцев","米哈伊尔·马什科夫采夫",""
"Михаил Грушевский","米哈伊洛·赫鲁舍夫斯基",""
"Мирзо Турсун-заде","米尔佐·图尔松扎德",""
"Виталий Герасимов","维塔利·格拉西莫夫",""
"Виктор Васнецов","维克托·瓦斯涅佐夫",""
"Виталий Хлопин","维塔利·格里戈里耶维奇·赫洛平",""
"Фанни Каплан","范妮·卡普兰",""
"Сидор Ковпак","西多尔·科夫帕克",""
"Сергей Волков","谢尔盖·亚历山德罗维奇·沃尔科夫",""
"Алексей Хохлов","阿列克谢·阿列克谢耶维奇·霍赫洛夫",""
"Альнур Мусаев","阿尔努尔·穆萨耶夫",""
"Лысый — волосатый","头发交替规则",""
"Александр Диордица","亚历山大·季奥尔季察",""
"Александр Тодорский","亚历山大·托多尔斯基",""
"Александр Тетердинко","亚历山大·捷捷尔金科",""
"Александр Барятинский","亚历山大·伊万诺维奇·巴米亚京斯基",""
"Александр Строганов","亚历山大·斯特罗加诺夫",""
"Игорь Олейников","伊戈尔·尤里耶维奇·奥列伊尼科夫",""
"Военное министерство Российской империи","俄罗斯帝国战争部",""
"Следственный комитет Российской Федерации","俄罗斯联邦侦查委员会",""
"Галина Куликова","加林娜·库利科娃",""
"Нугзар Асатиани","努格扎尔·阿萨季阿尼",""
"Карина Разумовская","卡林娜·拉祖莫夫斯卡娅",""
"Елена Бондаренко","叶连娜·韦尼阿米诺芙娜·邦达连科",""
"Оксана Пушкина","奥克萨娜·普希金娜",""
"Ольга Никитина","奥莉加·尼基京娜",""
"Осип Цадкин","奥西普·扎德金",""
"Анна Вьялицына","安妮·芙雅利茨娜",""
"Анна Панкратова","安娜·潘克拉托娃",""
"Ангелина Шкатова","安格林娜·什卡托娃",""
"Юрий Зарудин","尤里·扎鲁金",""
"Юджин Деннис","尤金·丹尼斯",""
"Николай Комаров","尼古拉·科马罗夫",""
"Николай Кропачев","尼古拉·米哈伊洛维奇·克罗帕切夫",""
"Павел Мощалков","帕维尔·莫夏尔科夫",""
"Павел Федяев","帕维尔·费佳耶夫",""
"Владимир Судец","弗拉基米尔·苏杰茨",""
"Пётр Сафронов","彼得·萨夫罗诺夫",""
"Дмитрий Морозов","德米特里·阿纳托利耶维奇·莫罗佐夫",""
"Расул Гамзатов","拉苏尔·伽姆扎托夫",""
"Фердинанд I (император Австрии)","斐迪南一世 (奥地利皇帝)",""
"Светлана Алексиевич","斯维拉娜·亚历塞维奇",""
"Георгий Оппоков","格奥尔基·奥波科夫",""
"Бийсултан Хамзаев","比苏丹·哈姆扎耶夫",""
"Братья Васильевы","瓦西里耶夫兄弟",""
"Валентин Власов","瓦连京·斯捷潘诺维奇·弗拉索夫",""
"Михаил Лазарев","米哈伊尔·拉扎列夫",""
"Виталий Коротич","维塔利·科罗季奇",""
"Роман Кутузов","罗曼·库图佐夫",""
"Филипп (ландграф Гессен-Гомбурга)","菲利普 (黑森-洪堡)",""
"Евгений Завойский","叶夫根尼·扎沃伊斯基",""
"Японские военнопленные в Советском Союзе","西伯利亚滞留者",""
"Сергей Пинчук","谢尔盖·平丘克",""
"Сергей Гриньков","谢尔盖·格林科夫",""
"Сергей Тен","谢尔盖·郑",""
"Акежан Кажегельдин","阿克然·卡热格尔金",""
"Алексей Лизичев","阿列克谢·利济切夫",""
"Арвид Пельше","阿尔维德·佩尔谢",""
"Марк Славин","马克·斯拉温",""
"Взрывы жилых домов в России в сентябре 1999 года","1999年俄罗斯公寓楼爆炸案",""
"Президентские выборы в России (2004)","2004年俄罗斯总统选举",""
"Саммит Россия — США в Женеве (2021)","2021年俄美峰会",""
"Умяр Мавлиханов","乌米亚尔·马夫利哈诺夫",""
"Александр Зайцев","亚历山大·根纳季耶维奇·扎伊采夫",""
"42-я гвардейская мотострелковая дивизия","俄罗斯陆军第42近卫摩托化步兵师",""
"Клим Шипенко","克里姆·斯彭科",""
"Общероссийский народный фронт","全俄人民阵线",""
"Леонид Гайдай","列昂尼德·盖代",""
"Гурий Марчук","古里·马尔丘克",""
"Евгений Козловский","叶夫根尼·科兹洛夫斯基",""
"Елена Скрынник","叶连娜·斯克伦尼克",""
"Сергей Далин","塞奇·达林",""
"Ольга Павлова","奥莉加·伊万诺芙娜·帕夫洛娃",""
"Антон Горелкин","安东·戈列尔金",""
"Антон Кочинян","安东·科钦扬",""
"Энтони Блант","安东尼·布伦特",""
"Юрий Левада","尤里·列瓦达",""
"Юрий Кондратюк","尤里·孔德拉秋克",""
"Юрий Жирков","尤里·日尔科夫",""
"Юрий Нагибин","尤里·纳吉宾",""
"Юрий Щекочихин","尤里·谢科奇欣",""
"Николай Иванов","尼古拉·尼古拉耶维奇·伊万诺夫 (短跑运动员)",""
"Павел Бермондт-Авалов","帕维尔·拉法罗维奇·别尔蒙特-阿瓦罗夫",""
"Владимир Ветчинкин","弗拉基米尔·韦钦金",""
"Фриц Кремер","弗里茨·克里默",""
"Дарья Дмитриева","戴莉亚·迪米崔耶娃",""
"Никто (фильм)","无名弑",""
"Мария Тимофеева","玛丽亚·季莫费耶娃",""
"Вазген Манукян","瓦兹根·马努基扬",""
"Владислав Грабский","瓦迪斯瓦夫·格拉布斯基",""
"Гай Бёрджесс","盖伊·伯吉斯",""
"Адам, Данкан","第一代邓肯子爵亚当·邓肯",""
"Михаил Звинчук","米哈伊尔·兹温丘克",""
"Михаил Покровский","米哈伊尔·波克罗夫斯基",""
"Иосиф Кузьмин","约瑟夫·库兹明",""
"Виктор Пинский","维克托·平斯基",""
"Роман Птицын","罗曼·普季岑",""
"Евгений Ройзман","叶夫根尼·罗伊兹曼",""
"Сергей Баловин","谢尔盖·巴劳文",""
"Сергей Бирюзов","谢尔盖·比留佐夫",""
"Сергей Боженов","谢尔盖·阿纳托利耶维奇·博热诺夫",""
"Лиссабонский протокол","里斯本议定书",""
"Аяз Муталибов","阿亚兹·穆塔利博夫",""
"Афанасий Белобородов","阿法纳西·别洛博罗多夫",""
"Яков Федоренко","雅科夫·费多连科",""
"Яков Яковлев","雅科夫·阿尔卡季耶维奇·雅科夫列夫",""
"Мамед Искендеров","马梅德·伊斯肯杰罗夫",""
"Литературный институт имени А. М. Горького","高尔基文学院",""
"Александр Беглов","亚历山大·别格洛夫",""
"Иван Яковлев","伊万·德米特里耶维奇·雅科夫列夫",""
"Лев Понтрягин","列夫·庞特里亚金",""
"Леонид Тибилов","列昂尼德·季比洛夫",""
"Кубок Гагарина","加加林杯",""
"Нурмухамед Бозжанов","努尔穆罕默德·波扎诺夫",""
"Евгений Пригожин","叶夫根尼·普里戈任",""
"Иоанн Кронштадтский","喀琅施塔得的圣伊望",""
"Ольга Качура","奥莉加·卡丘拉",""
"Ольга Шатуновская","奥莉加·沙图诺夫斯卡娅",""
"Андрей Шевченко","安德烈·斯捷潘诺维奇·舍甫琴科",""
"Юрий Абрамович","尤里·阿布拉莫维奇",""
"Юлий Мартов","尤里·马尔托夫",""
"Николай Юденич","尼古拉·尤登尼奇",""
"Николай Кулиш","尼古拉·库利什",""
"Владимир Шумейко","弗拉基米尔·舒梅科",""
